Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2016-11-10,4,2167.48,1265.5,715.5339965820312,10.5244998932
2016-11-14,1,2164.2,1221.199951171875,705.02099609375,9.9664802551
2016-11-15,2,2180.39,1224.0,711.6190185546875,10.217499733
2016-11-16,3,2176.94,1223.4000244140625,744.197998046875,10.0591001511
2016-11-17,4,2187.12,1216.5,740.9769897460938,9.9911804199
2016-11-18,5,2181.9,1208.5,751.5850219726562,9.4761600494
2016-11-21,1,2198.18,1209.5999755859375,739.2479858398438,9.6208200455
2016-11-22,2,2202.94,1211.0,751.3469848632812,9.9057197571
2016-11-23,3,2204.72,1189.0999755859375,744.593994140625,9.8436203003
2016-11-25,5,2213.35,1178.199951171875,741.6489868164062,9.4020500183
2016-11-28,1,2201.72,1190.5999755859375,735.81298828125,8.724820137
2016-11-29,2,2204.66,1187.9000244140625,735.60400390625,8.1741199493
2016-11-30,3,2198.81,1170.800048828125,745.6909790039062,8.5875396729
2016-12-01,4,2191.08,1166.9000244140625,756.7739868164062,8.4525003433
2016-12-02,5,2191.95,1175.0999755859375,777.9439697265625,7.7599601746
2016-12-05,1,2204.71,1174.0,758.7000122070312,6.8216600418
2016-12-06,2,2212.23,1167.5999755859375,764.2239990234375,7.868929863
2016-12-07,3,2241.35,1175.0,768.1320190429688,8.381480217
2016-12-08,4,2246.19,1169.800048828125,770.8099975585938,8.230509758
2016-12-09,5,2259.53,1159.4000244140625,772.7940063476562,8.4460096359
2016-12-12,1,2256.96,1163.5,780.0869750976562,8.5222101212
2016-12-13,2,2271.72,1156.699951171875,780.5560302734375,8.4228496552
2016-12-14,3,2253.28,1161.300048828125,781.4810180664062,8.2652301788
2016-12-15,4,2262.03,1127.800048828125,778.0880126953125,7.8284702301
2016-12-16,5,2258.07,1135.300048828125,784.906982421875,7.8582100868
2016-12-19,1,2262.53,1140.5,792.7139892578125,7.643819809
2016-12-20,2,2270.76,1131.5,800.8759765625,7.6600399017
2016-12-21,3,2265.18,1131.0999755859375,834.281005859375,7.9144001007
2016-12-22,4,2260.96,1128.800048828125,864.5399780273438,7.5850000381
2016-12-23,5,2263.79,1131.9000244140625,921.9840087890624,7.1661500931
2016-12-27,2,2268.88,1137.300048828125,933.197998046875,7.1708202362
2016-12-28,3,2249.92,1139.4000244140625,975.9210205078124,7.5201101303
2016-12-29,4,2249.26,1156.4000244140625,973.4970092773438,8.2841596603
2016-12-30,5,2238.83,1150.0,961.2379760742188,8.1599798203
2017-01-03,2,2257.83,1160.4000244140625,1043.8399658203125,9.7252502441
2017-01-04,3,2270.75,1163.800048828125,1154.72998046875,11.2516002655
2017-01-05,4,2269.0,1179.699951171875,1013.3800048828124,10.2544002533
